Symbol ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,Stock Name,SEM_EXPIRY_CODE,Symbol,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
BSE,E,200105,EQUITY,0,RKEC,1.0,RKEC Projects,,,,1.0,,ES,NS,RKEC PROJECTS LIMITED
BSE,E,200184,EQUITY,0,PARAMPARA,8000.0,Parampara Dairy Delights,,,,5.0,,ES,NT,PARAMPARA DAIRY DLGHT LTD
BSE,E,200223,EQUITY,0,SMVD,4040.0,SMVD Poly Pack,,,,5.0,,ES,NT,SMVD POLY PACK LIMITED
BSE,E,200283,EQUITY,0,JMA,1.0,Jullundur Motor Agency,,,,1.0,,ES,NS,JULLUNDUR MOT AGENCY LTD
BSE,E,200306,EQUITY,0,SINTERCOM,1.0,Sintercom,,,,1.0,,ES,NS,SINTERCOM INDIA LIMITED
BSE,E,200405,EQUITY,0,MPTODAY,2000.0,Madhya Pradesh Today Media,,,,5.0,,ES,NS,M P TODAY MEDIA LIMITED
BSE,E,200428,EQUITY,0,JETKNIT,750.0,Jet Knitwears,,,,5.0,,ES,NT,JET KNITWEARS LTD.
BSE,E,200454,EQUITY,0,DIRL,6000.0,Dhanuka Infra Realty,,,,5.0,,ES,NS,DHANUKA INFRA REALTY LTD
BSE,E,200475,EQUITY,0,NIRAJISPAT,1.0,Niraj Ispat Industries,,,,1.0,,ES,NT,NIRAJ ISPAT IND LTD
BSE,E,200486,EQUITY,0,MAHICKRA,750.0,Mahickra Chemicals,,,,5.0,,ES,NT,MAHICKRA CHEMICAL LIMITED
BSE,E,200519,EQUITY,0,SAKAR,1.0,Sakar Healthcare,,,,5.0,,ES,NS,SAKAR HEALTHCARE LIMITED
BSE,E,200535,EQUITY,0,ELGIRUBCO,1.0,Elgi Rubber Company,,,,1.0,,ES,NS,ELGI RUBBER CO. LTD
BSE,E,200540,EQUITY,0,CROWN,1.0,Crown Lifters,,,,1.0,,ES,NS,CROWN LIFTERS LIMITED
BSE,E,200558,EQUITY,0,MILTON,2200.0,Milton Industries,,,,5.0,,ES,NS,MILTON INDUSTRIES LIMITED
BSE,E,200669,EQUITY,0,FROG,400.0,Frog Innovations,,,,5.0,,ES,NS,FROG INNOVATIONS LIMITED
BSE,E,200738,EQUITY,0,JALAN,3000.0,Jalan Transolutions,,,,5.0,,ES,NS,JALAN TRANSOLU. INDIA LTD
BSE,E,200742,EQUITY,0,AISL,600.0,ANI Integrated Services,,,,5.0,,ES,NS,ANI INTEGRATED SERV LTD.
BSE,E,200761,EQUITY,0,TEMBO,1.0,Tembo Global Industries,,,,5.0,,ES,NS,TEMBO GLOBAL IND LTD
BSE,E,200766,EQUITY,0,UWCSL,1000.0,Ultra Wiring Connect,,,,5.0,,ES,NS,ULTRA WIRING CONN SYS LTD
BSE,E,200995,EQUITY,0,TSFINV,1.0,TSF Investments,,,,5.0,,ES,NS,TSF INVESTMENTS LIMITED
BSE,E,201000,EQUITY,0,VSCL,3000.0,Vadivarhe Speciality Chemicals,,,,5.0,,ES,NS,VADIVARHE SPCLTY CHEM LTD
BSE,E,201038,EQUITY,0,ICEMAKE,1.0,Ice Make Refrigeration,,,,5.0,,ES,NS,ICE MAKE REFRIGERAT LTD
BSE,E,201064,EQUITY,0,AMBANIORGO,1000.0,Ambani Orgochem,,,,5.0,,ES,NT,AMBANI ORGOCHEM LIMITED
BSE,E,201143,EQUITY,0,E2E,1.0,E2E Networks,,,,10.0,,ES,NT,E2E NETWORKS LIMITED
BSE,E,201232,EQUITY,0,CDSL,1.0,CDSL,,,,10.0,,ES,NS,CENTRAL DEPO SER (I) LTD
BSE,E,201305,EQUITY,0,UNITEDPOLY,1.0,United Polyfab,,,,1.0,,ES,NS,UNITED POLYFAB GUJ. LTD.
BSE,E,201342,EQUITY,0,TOUCHWOOD,1.0,Touchwood Entertainment,,,,1.0,,ES,NS,TOUCHWOOD ENTERTAIN LTD.
BSE,E,201344,EQUITY,0,PULZ,2000.0,Pulz Electronics,,,,5.0,,ES,NS,PULZ ELECTRONICS LIMITED
BSE,E,201461,EQUITY,0,DIL,1.0,Debock Industries,,,,1.0,,ES,NT,DEBOCK INDUSTRIES LIMITED
BSE,E,201471,EQUITY,0,VARDHACRLC,1.0,Vardhaman Acrylics,,,,1.0,,ES,NS,VARDHAMAN ACRYLICS LTD
BSE,E,201480,EQUITY,0,KRISHANA,1.0,Krishana Phoschem,,,,5.0,,ES,NS,KRISHANA PHOSCHEM LIMITED
BSE,E,201552,EQUITY,0,ANTGRAPHIC,1.0,Antarctica,,,,1.0,,ES,NS,ANTARCTICA LTD
BSE,E,201657,EQUITY,0,PANSARI,1.0,Pansari Developers,,,,5.0,,ES,NS,PANSARI DEVELOPERS LTD
